date,outlet_name,item_name,net_revenue,quantity,brand,wok_id,hour_slot,order_type,basic_amt,void_amt,product_id,day_no,day_of_week
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),154.0,1,QAFFEINE,QOH0012,8-9,Carry-Out,154,0,8869,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,STRAWBERRY THICK SHAKE,203.0,1,QAFFEINE,QOH0012,8-9,Carry-Out,203,0,12027,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CLASSIC CHICKEN POTPIE,132.0,1,QAFFEINE,QOH0012,8-9,Carry-Out,132,0,20639,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,QAFFEINE WATER,57.14,1,QAFFEINE,QOH0012,9-10,Carry-Out,57.14,0,405,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,IRISH,49.0,1,QAFFEINE,QOH0012,9-10,Carry-Out,49,0,8642,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),154.0,1,QAFFEINE,QOH0012,9-10,Carry-Out,154,0,8869,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHOCO LOADED COLD COFFEE,196.0,1,QAFFEINE,QOH0012,9-10,Carry-Out,196,0,9119,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,QAFFEINE WATER,114.28,2,QAFFEINE,QOH0012,10-11,Carry-Out,114.28,0,405,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),277.2,2,QAFFEINE,QOH0012,10-11,Carry-Out,308,0,8869,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,AMERICANO,101.15,1,QAFFEINE,QOH0012,10-11,Carry-Out,119,0,8877,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,LARGE ELACHI TEA,139.0,1,QAFFEINE,QOH0012,10-11,Carry-Out,139,0,11297,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,ALMOND CROISSANT,188.0,1,QAFFEINE,QOH0012,10-11,Carry-Out,188,0,12787,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CLASSIC KOREAN GARLIC BUN,343.9,2,QAFFEINE,QOH0012,10-11,Carry-Out,362,0,13143,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,ALMOND MOCHA,182.7,1,QAFFEINE,QOH0012,10-11,Carry-Out,203,0,14307,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,BEIGIAN CHOCOLATE TRUFFLE,188.1,1,QAFFEINE,QOH0012,10-11,Carry-Out,209,0,20647,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,PANEER TIKKA GALETTE,104.4,1,QAFFEINE,QOH0012,10-11,Carry-Out,116,0,20648,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,FLAT WHITE,154.0,1,QAFFEINE,QOH0012,11-12,Carry-Out,154,0,388,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,FAMOUS COLD COFFEE_P,182.0,1,QAFFEINE,QOH0012,11-12,Carry-Out,182,0,8645,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,GREAT INDIAN FILTER COFFEE REGULAR,147.0,1,QAFFEINE,QOH0012,11-12,Carry-Out,147,0,8824,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),308.0,2,QAFFEINE,QOH0012,11-12,Carry-Out,308,0,8869,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,AMERICANO,119.0,1,QAFFEINE,QOH0012,11-12,Carry-Out,119,0,8877,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAFE MOCHA ( HOT ),175.0,1,QAFFEINE,QOH0012,11-12,Carry-Out,175,0,8878,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,OREO CHOCOLATE THICK SHAKE,203.0,1,QAFFEINE,QOH0012,11-12,Carry-Out,203,0,9122,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,LARGE ELACHI TEA,139.0,1,QAFFEINE,QOH0012,11-12,Carry-Out,139,0,11297,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,LARGE GINGER TEA,139.0,1,QAFFEINE,QOH0012,11-12,Carry-Out,139,0,11299,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CLASSIC KOREAN GARLIC BUN,362.0,2,QAFFEINE,QOH0012,11-12,Carry-Out,362,0,13143,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,QAFFEINE WATER,57.14,1,QAFFEINE,QOH0012,12-13,Carry-Out,57.14,0,405,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,HAZELNUT,49.0,1,QAFFEINE,QOH0012,12-13,Carry-Out,49,0,8640,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,GREAT INDIAN FILTER COFFEE REGULAR,147.0,1,QAFFEINE,QOH0012,12-13,Carry-Out,147,0,8824,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),770.0,5,QAFFEINE,QOH0012,12-13,Carry-Out,770,0,8869,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,AMERICANO,119.0,1,QAFFEINE,QOH0012,12-13,Carry-Out,119,0,8877,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHOCO LOADED COLD COFFEE,196.0,1,QAFFEINE,QOH0012,12-13,Carry-Out,196,0,9119,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CARDAMOM TEA,222.4,2,QAFFEINE,QOH0012,12-13,Carry-Out,278,0,9135,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,FRENCH CHILLI CHEESE TOASTIE,153.0,1,QAFFEINE,QOH0012,12-13,Carry-Out,153,0,10153,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,LARGE ELACHI TEA,139.0,1,QAFFEINE,QOH0012,12-13,Carry-Out,139,0,11297,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,LARGE GINGER TEA,139.0,1,QAFFEINE,QOH0012,12-13,Carry-Out,139,0,11299,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,ALMOND MILK.,94.4,2,QAFFEINE,QOH0012,12-13,Carry-Out,118,0,11300,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CLASSIC KOREAN GARLIC BUN,181.0,1,QAFFEINE,QOH0012,12-13,Carry-Out,181,0,13143,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHOCOLATE ECLAIR,160.0,1,QAFFEINE,QOH0012,12-13,Carry-Out,160,0,20643,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,SPANISH LATTE,175.0,1,QAFFEINE,QOH0012,13-14,Carry-Out,175,0,5966,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,FAMOUS COLD COFFEE_P,182.0,1,QAFFEINE,QOH0012,13-14,Carry-Out,182,0,8645,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,GREAT INDIAN FILTER COFFEE REGULAR,882.0,6,QAFFEINE,QOH0012,13-14,Carry-Out,882,0,8824,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),462.0,3,QAFFEINE,QOH0012,13-14,Carry-Out,462,0,8869,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAFE LATTE ( HOT),161.0,1,QAFFEINE,QOH0012,13-14,Carry-Out,161,0,8870,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,SCHEZWAN CHICKEN WRAP,188.0,1,QAFFEINE,QOH0012,13-14,Carry-Out,188,0,10439,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,BLUEBERRY THICK SHAKE,203.0,1,QAFFEINE,QOH0012,13-14,Carry-Out,203,0,12028,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,ALMOND QAPPUCCINO,189.0,1,QAFFEINE,QOH0012,13-14,Carry-Out,189,0,12779,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,BANH MI CHICKEN SANDWICH,418.0,2,QAFFEINE,QOH0012,13-14,Carry-Out,418,0,14391,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,BRIOCHE PANEER SANDWICH,209.0,1,QAFFEINE,QOH0012,13-14,Carry-Out,209,0,18037,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,PANEER TIKKA GALETTE,116.0,1,QAFFEINE,QOH0012,13-14,Carry-Out,116,0,20648,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,QAFFEINE WATER,171.42,3,QAFFEINE,QOH0012,14-15,Carry-Out,171.42,0,405,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,EXTRA ESPRESSO SHOT,49.0,1,QAFFEINE,QOH0012,14-15,Carry-Out,49,0,407,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,MOJITO,154.0,1,QAFFEINE,QOH0012,14-15,Carry-Out,154,0,8636,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,GREAT INDIAN FILTER COFFEE REGULAR,294.0,2,QAFFEINE,QOH0012,14-15,Carry-Out,294,0,8824,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),1047.2,7,QAFFEINE,QOH0012,14-15,Carry-Out,1078,0,8869,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAFE LATTE ( HOT),161.0,1,QAFFEINE,QOH0012,14-15,Carry-Out,161,0,8870,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,AMERICANO,119.0,1,QAFFEINE,QOH0012,14-15,Carry-Out,119,0,8877,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,MARBLE TEA CAKE SLICE,160.0,1,QAFFEINE,QOH0012,14-15,Carry-Out,160,0,8940,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,OREO CHOCOLATE THICK SHAKE,609.0,3,QAFFEINE,QOH0012,14-15,Carry-Out,609,0,9122,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,KIT KAT THICK SHAKE,182.7,1,QAFFEINE,QOH0012,14-15,Carry-Out,203,0,9123,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CARDAMOM TEA,139.0,1,QAFFEINE,QOH0012,14-15,Carry-Out,139,0,9135,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,BELGIUM CHOCOLATE PASTRY,163.8,1,QAFFEINE,QOH0012,14-15,Carry-Out,182,0,10134,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,FRENCH CHILLI CHEESE TOASTIE,153.0,1,QAFFEINE,QOH0012,14-15,Carry-Out,153,0,10153,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,WALNUT BROWNIE,153.0,1,QAFFEINE,QOH0012,14-15,Carry-Out,153,0,10155,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,SCHEZWAN CHICKEN WRAP,169.2,1,QAFFEINE,QOH0012,14-15,Carry-Out,188,0,10439,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,LARGE LEMON TEA,139.0,1,QAFFEINE,QOH0012,14-15,Carry-Out,139,0,11298,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CLASSIC KOREAN GARLIC BUN,362.0,2,QAFFEINE,QOH0012,14-15,Carry-Out,362,0,13143,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,PANEER AFGHANI SANDWICH,202.0,1,QAFFEINE,QOH0012,14-15,Carry-Out,202,0,14386,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHICKEN AFGHANI SANDWICH,397.1,2,QAFFEINE,QOH0012,14-15,Carry-Out,418,0,14387,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,BANH MI CHICKEN SANDWICH,209.0,1,QAFFEINE,QOH0012,14-15,Carry-Out,209,0,14391,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHOCOLATE THICK SHAKE,182.7,1,QAFFEINE,QOH0012,14-15,Carry-Out,203,0,15224,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,HONEY CINNAMON ROLL,139.0,1,QAFFEINE,QOH0012,14-15,Carry-Out,139,0,20638,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,GINGER TEA,139.0,1,QAFFEINE,QOH0012,15-16,Carry-Out,139,0,145,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,QAFFEINE WATER,285.7,5,QAFFEINE,QOH0012,15-16,Carry-Out,285.7,0,405,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,ICED CAFE AMERICANO,150.0,1,QAFFEINE,QOH0012,15-16,Carry-Out,150,0,501,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,FAMOUS COLD COFFEE_P,182.0,1,QAFFEINE,QOH0012,15-16,Carry-Out,182,0,8645,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),154.0,1,QAFFEINE,QOH0012,15-16,Carry-Out,154,0,8869,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAFE LATTE ( HOT),644.0,4,QAFFEINE,QOH0012,15-16,Carry-Out,644,0,8870,1,MONDAY
