date,outlet_name,item_name,net_revenue,quantity,restaurant_id,brand,city,state,gross_sale,total_discount,dine_in_net,carry_out_net,delivery_net,dine_in_orders,carry_out_orders,delivery_orders,pax,cash_amt,card_amt,upi_amt,void_order_amt,cancel_count,void_bill_count,total_bill_amt
2025-12-01,QAFFEINE-BHOOJA,4730,17506.0,36.0,QOH0221,QAFFEINE,HYDERABAD,TELANGANA,17506,0,15305,2201,0,30,6,0,,4171,4904,9306,0,0,0,18380.26
2025-12-02,QAFFEINE-BHOOJA,4739,17159.0,31.0,QOH0221,QAFFEINE,HYDERABAD,TELANGANA,17159,0,15321,1838,0,25,6,0,,4907,3749,9357,0,0,0,18008.7
2025-12-03,QAFFEINE-BHOOJA,6949,26268.0,39.0,QOH0221,QAFFEINE,HYDERABAD,TELANGANA,27631,1363,20194,6074,0,30,9,0,,1998,7298,18285,0,0,0,27580.04
2025-12-04,QAFFEINE-BHOOJA,3851,14906.0,25.0,QOH0221,QAFFEINE,HYDERABAD,TELANGANA,16061,1155,12699,2207,0,19,6,0,,1367,1953,12330,0,0,0,15648.32
2025-12-05,QAFFEINE-BHOOJA,7471.65,21904.3,34.0,QOH0221,QAFFEINE,HYDERABAD,TELANGANA,22066,161.7,19589.3,2091,224,28,5,1,,3969,5985,12810,0,0,0,23007.16
2025-12-06,QAFFEINE-BHOOJA,8129,27120.0,42.0,QOH0221,QAFFEINE,HYDERABAD,TELANGANA,28014,894,21997,5123,0,35,7,0,,5613,8751,14108,0,0,0,28467.3
2025-12-07,QAFFEINE-BHOOJA,5649,21464.0,39.0,QOH0221,QAFFEINE,HYDERABAD,TELANGANA,21464,0,19841,1623,0,35,4,0,,3606,3751,15177,0,0,0,22530.3
2025-12-01,QAFFFEINE-MUSARAMBAGH,6239.01,17291.71,30.0,QOH0233,QAFFEINE,HYDERABAD,TELANGANA,18543,1251.29,6461.8,4858,5971.91,10,7,13,,2136,1359,7776,0,0,0,18115.65
2025-12-02,QAFFFEINE-MUSARAMBAGH,3910.02,15739.61,31.0,QOH0233,QAFFEINE,HYDERABAD,TELANGANA,16955,1215.39,7669,3507.4,4563.21,13,5,13,,2095,502,8354,0,0,0,16557.57
2025-12-03,QAFFFEINE-MUSARAMBAGH,4637.46,14465.66,23.0,QOH0233,QAFFEINE,HYDERABAD,TELANGANA,15108,642.34,4925.65,7931,1609.01,8,11,4,,3304,2403,7342,0,0,0,15187.14
2025-12-04,QAFFFEINE-MUSARAMBAGH,4353.31,13498.8,24.0,QOH0233,QAFFEINE,HYDERABAD,TELANGANA,14971,1472.2,10348.5,1165,1985.3,15,2,7,,2858,261,7149,0,0,0,14211.82
2025-12-05,QAFFFEINE-MUSARAMBAGH,6475.02,14205.2,26.0,QOH0233,QAFFEINE,HYDERABAD,TELANGANA,15121,915.8,10838.45,2185.8,1180.95,18,4,4,,4106,2775,5001,0,0,0,14937.12
2025-12-06,QAFFFEINE-MUSARAMBAGH,6672.72,23783.57,40.0,QOH0233,QAFFEINE,HYDERABAD,TELANGANA,25373,1589.43,12927.52,7362.8,3493.25,20,10,10,,2099,6266,12940,0,0,0,24997.81
2025-12-07,QAFFFEINE-MUSARAMBAGH,8625.33,20746.58,34.0,QOH0233,QAFFEINE,HYDERABAD,TELANGANA,21710,963.42,12550.84,5034.6,3161.14,18,7,9,,3896,1496,12507,0,0,0,21803.899999999998
2025-12-01,QAFFEINE-GVK-ONE,1732,15165.31,27.0,QOH0236,QAFFEINE,HYDERABAD,TELANGANA,15683,517.69,0,13688.3,1477.01,0,22,5,,1893,5750,6730,0,0,0,15949.89
2025-12-02,QAFFEINE-GVK-ONE,784.43,10164.45,25.0,QOH0236,QAFFEINE,HYDERABAD,TELANGANA,10749,584.55,0,8490,1674.45,0,19,6,,3193,1588,4135,0,0,0,10711.67
2025-12-03,QAFFEINE-GVK-ONE,835,8889.0,18.0,QOH0236,QAFFEINE,HYDERABAD,TELANGANA,9014,125,0,8456,433,0,17,1,,5788,794,2296,0,0,0,9329.96
2025-12-04,QAFFEINE-GVK-ONE,2023,11854.0,24.0,QOH0236,QAFFEINE,HYDERABAD,TELANGANA,12430,576,0,10692.4,1161.6,0,20,4,,3276,909,7044,0,0,0,12472.26
2025-12-05,QAFFEINE-GVK-ONE,2542.77,14766.2,25.0,QOH0236,QAFFEINE,HYDERABAD,TELANGANA,15313,546.8,0,13085,1681.2,0,22,3,,3919,1306,8515,0,0,0,15481.460000000001
