date,outlet_name,item_name,net_revenue,quantity,brand,channel,bill_no,product_group,spl_category,basic_rate,cgst,sgst,total_gst,kot_time,city,order_taker
2025-12-01,QAFFEINE HITECH CITY,STRAWBERRY THICK SHAKE,203.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018906/2025,Q THICK SHAKE,BEVERAGES,203,5.08,5.08,10.16,2025-12-01 08:56:37,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),154.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018906/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,3.85,3.85,7.7,2025-12-01 08:56:37,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CLASSIC CHICKEN POTPIE,132.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018906/2025,CROISSANTS,FOOD,132,3.3,3.3,6.6,2025-12-01 08:56:37,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CHOCO LOADED COLD COFFEE,196.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018907/2025,Q SIGNATURE COLD COFFEE,BEVERAGES,196,4.9,4.9,9.8,2025-12-01 09:06:09,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,QAFFEINE WATER,57.14,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018907/2025,BEVERAGE,BEVERAGES,57.14,1.43,1.43,2.86,2025-12-01 09:06:09,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,IRISH,49.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018907/2025,ADDONS,ADD ON,49,1.23,1.23,2.46,2025-12-01 09:06:09,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),154.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018907/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,3.85,3.85,7.7,2025-12-01 09:06:09,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),123.2,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018908/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,154,3.08,3.08,6.16,2025-12-01 10:20:45,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,LARGE ELACHI TEA,139.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018909/2025,HOT BEVERAGE,BEVERAGES,139,3.48,3.48,6.96,2025-12-01 10:25:01,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,ALMOND CROISSANT,188.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018909/2025,CROISSANTS,FOOD,188,4.7,4.7,9.4,2025-12-01 10:25:01,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,AMERICANO,101.15,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018909/2025,Q CLASSIC COFFEE HOUSE BLEND,BEVERAGES,119,2.53,2.53,5.06,2025-12-01 10:25:01,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CLASSIC KOREAN GARLIC BUN,181.0,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018909/2025,SAVOURIES,FOOD,181,4.53,4.53,9.06,2025-12-01 10:25:01,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,CLASSIC KOREAN GARLIC BUN,162.9,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018910/2025,SAVOURIES,FOOD,181,4.07,4.07,8.14,2025-12-01 10:28:09,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,BEIGIAN CHOCOLATE TRUFFLE,188.1,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018910/2025,CHEESECAKES,FOOD,209,4.7,4.7,9.4,2025-12-01 10:28:09,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,PANEER TIKKA GALETTE,104.4,1.0,QAFFEINE,Carry-Out,QAH/IN/1/018911/2025,CROISSANTS,FOOD,116,2.61,2.61,5.22,2025-12-01 10:53:34,HYDERABAD,HITECH CITY CASHIER 1
2025-12-01,QAFFEINE HITECH CITY,QAFFEINE WATER,114.28,2.0,QAFFEINE,Carry-Out,QAH/IN/1/018911/2025,BEVERAGE,BEVERAGES,57.14,2.86,2.86,5.72,2025-12-01 10:53:34,HYDERABAD,HITECH CITY CASHIER 1
